"NFGOVCOFOG_FUNCTION","Government function","NFGOVCOFOG_ITEM","Item","NFGOVCOFOG_SECTOR","Institutional sector","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"TOT","Total","TOT","Total government expenditure","S1300","General government","A","Annual","2016","2016",225248.9,,
"TOT","Total","TOT","Total government expenditure","S1311","Federal government","A","Annual","2016","2016",116312.1,,
"TOT","Total","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2016","2016",82179.2,,
"TOT","Total","TOT","Total government expenditure","S1313","Local government","A","Annual","2016","2016",30046.9,,
"TOT","Total","TOT","Total government expenditure","S1314","Social security funds","A","Annual","2016","2016",91053,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1300","General government","A","Annual","2016","2016",9311.1,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1311","Federal government","A","Annual","2016","2016",990.5,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2016","2016",5756.1,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1313","Local government","A","Annual","2016","2016",2495.7,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1314","Social security funds","A","Annual","2016","2016",68.7,,
"TOT","Total","D1","Compensation of employees (D.1)","S1300","General government","A","Annual","2016","2016",52336.8,,
"TOT","Total","D1","Compensation of employees (D.1)","S1311","Federal government","A","Annual","2016","2016",9311.3,,
"TOT","Total","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2016","2016",24341.3,,
"TOT","Total","D1","Compensation of employees (D.1)","S1313","Local government","A","Annual","2016","2016",17087.5,,
"TOT","Total","D1","Compensation of employees (D.1)","S1314","Social security funds","A","Annual","2016","2016",1596.8,,
"TOT","Total","D3","Subsidies (D.3)","S1300","General government","A","Annual","2016","2016",14265.6,,
"TOT","Total","D3","Subsidies (D.3)","S1311","Federal government","A","Annual","2016","2016",4685.3,,
"TOT","Total","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2016","2016",7030.2,,
"TOT","Total","D3","Subsidies (D.3)","S1313","Local government","A","Annual","2016","2016",714.2,,
"TOT","Total","D3","Subsidies (D.3)","S1314","Social security funds","A","Annual","2016","2016",1835.9,,
"TOT","Total","D4","Property income paid (D.4)","S1300","General government","A","Annual","2016","2016",12075.5,,
