"NFGOVCOFOG_FUNCTION","Overheidsfunctie","NFGOVCOFOG_ITEM","Item","NFGOVCOFOG_SECTOR","Institutionele sector","FREQUENCY","Frequentie","TIME","Periode","Value","Flag Codes","Flags"
"TOT","Totaal","TOT","Totale overheidsuitgaven","S1300","Totale overheid","A","Jaarlijks","2017","2017",228985.8,,
"TOT","Totaal","TOT","Totale overheidsuitgaven","S1311","Federale overheid","A","Jaarlijks","2017","2017",117088.4,,
"TOT","Totaal","TOT","Totale overheidsuitgaven","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",85238.1,,
"TOT","Totaal","TOT","Totale overheidsuitgaven","S1313","Lagere overheid","A","Jaarlijks","2017","2017",31273.8,,
"TOT","Totaal","TOT","Totale overheidsuitgaven","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",93940.1,,
"TOT","Totaal","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1300","Totale overheid","A","Jaarlijks","2017","2017",9898.9,,
"TOT","Totaal","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1311","Federale overheid","A","Jaarlijks","2017","2017",989.2,,
"TOT","Totaal","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",5735.8,,
"TOT","Totaal","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",3096.1,,
"TOT","Totaal","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",77.8,,
"TOT","Totaal","D1","Beloning van werknemers (D.1)","S1300","Totale overheid","A","Jaarlijks","2017","2017",53971.3,,
